epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.8861,1.78377,0.97881,1.02755,1,0.64756,0.98027,0.45647,1.78973,2.05935,0.98693,0.000590997,0.000590997,0.000590997
43,44.0389,1.61092,0.92388,1.02099,1,0.85523,0.99456,0.46252,1.77795,1.83479,0.98955,0.000603101,0.000603101,0.000603101
44,45.0092,1.79076,1.03132,1.0247,1,0.85523,0.99456,0.46252,1.77795,1.83479,0.98955,0.000615095,0.000615095,0.000615095
45,46.4599,1.74922,0.99221,0.97675,1,0.95544,0.995,0.48599,1.78415,1.69967,0.98745,0.000626979,0.000626979,0.000626979
46,47.4459,1.89745,1.09034,1.0013,1,0.95544,0.995,0.48599,1.78415,1.69967,0.98745,0.000638753,0.000638753,0.000638753
47,48.813,1.89049,1.11515,0.98576,1,0.96793,0.995,0.45204,1.80164,1.76155,0.98861,0.000650417,0.000650417,0.000650417
48,49.9502,1.85139,1.07088,0.94179,1,0.96793,0.995,0.45204,1.80164,1.76155,0.98861,0.000661971,0.000661971,0.000661971
49,51.298,1.8363,0.99334,1.06106,1,0.94373,0.995,0.44559,1.83755,1.86653,0.9954,0.000673415,0.000673415,0.000673415
50,52.4563,1.66989,0.98346,0.97429,1,0.94373,0.995,0.44559,1.83755,1.86653,0.9954,0.000684749,0.000684749,0.000684749
51,53.7759,1.75174,1.21619,0.92134,1,0.9098,0.995,0.47764,1.82225,1.85279,0.99508,0.000695973,0.000695973,0.000695973
52,54.6761,1.89895,1.06063,0.9615,1,0.9098,0.995,0.47764,1.82225,1.85279,0.99508,0.000707086,0.000707086,0.000707086
53,55.6718,1.6714,0.98215,0.96659,1,0.9098,0.995,0.47764,1.82225,1.85279,0.99508,0.00071809,0.00071809,0.00071809
54,57.0566,1.77114,0.95596,1.01727,1,0.97975,0.995,0.48639,1.78612,1.71809,0.99175,0.000728984,0.000728984,0.000728984
55,58.0214,1.88723,1.07526,0.93721,1,0.97975,0.995,0.48639,1.78612,1.71809,0.99175,0.000739768,0.000739768,0.000739768
56,58.8821,1.76442,1.00038,0.91365,1,0.97975,0.995,0.48639,1.78612,1.71809,0.99175,0.000750442,0.000750442,0.000750442
57,60.1053,1.76402,1.07355,0.89436,0.99484,0.97324,0.99246,0.48121,1.76412,1.63128,0.99253,0.000761006,0.000761006,0.000761006
58,61.5357,1.84333,0.98967,1.01892,0.99484,0.97324,0.99246,0.48121,1.76412,1.63128,0.99253,0.000771459,0.000771459,0.000771459
59,62.9813,1.76582,0.89294,0.99962,0.99484,0.97324,0.99246,0.48121,1.76412,1.63128,0.99253,0.000781803,0.000781803,0.000781803
60,64.7839,1.89523,0.93096,1.06213,0.99173,0.96826,0.99475,0.49577,1.73257,1.70919,0.98505,0.000792037,0.000792037,0.000792037
61,66.2776,1.74717,0.94194,0.94538,0.99173,0.96826,0.99475,0.49577,1.73257,1.70919,0.98505,0.00080216,0.00080216,0.00080216
62,67.7722,1.71246,0.9141,1.01375,0.99173,0.96826,0.99475,0.49577,1.73257,1.70919,0.98505,0.000812174,0.000812174,0.000812174
63,70.5397,1.64579,0.87584,1.05682,1,0.89257,0.995,0.50067,1.73072,1.81212,0.99086,0.000822078,0.000822078,0.000822078
64,72.3433,1.81017,0.98118,0.97234,1,0.89257,0.995,0.50067,1.73072,1.81212,0.99086,0.000831871,0.000831871,0.000831871
65,73.8042,1.8306,0.93682,0.95646,1,0.89257,0.995,0.50067,1.73072,1.81212,0.99086,0.000841555,0.000841555,0.000841555
66,76.1628,1.75593,0.88494,0.98763,0.99415,0.79454,0.99129,0.5062,1.74305,1.85613,0.99144,0.000851129,0.000851129,0.000851129
67,77.7497,1.65525,0.86831,0.88563,0.99415,0.79454,0.99129,0.5062,1.74305,1.85613,0.99144,0.000860592,0.000860592,0.000860592
